Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
Coinvalores Dtvm Ltda. (BOVESPA:EURO11),BOVESPA:EURO11,Financials (Primary),-, 55.38 ,-,-,-,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),-
Cokal Limited (ASX:CKA),ASX:CKA,Materials (Primary); Materials (Primary),NM, 0.059 , 5.59 , 436.5 , (33.7)  , 0.022 , (29.1)  , 0.359 , 19.8 ,Australian Securities Exchange (ASX),"DB:25U
Company: Cokal Limited
(IQT540860536) - Deutsche Boerse AG (DB)"
"COL Digital Publishing Group Co., Ltd. (SZSE:300364)",SZSE:300364,Communication Services (Primary), 253.6 , 1.31 , 3.17 , 10.8 , 2.29 , 2.5 , 11.1 , 0.516 , 7.99 ,Shenzhen Stock Exchange (SZSE),-
Colabor Group Inc. (TSX:GCL),TSX:GCL,Consumer Staples (Primary); Consumer Discretionary, 26.6 , 1.33 , 1.41 , (30.1)  , 5.28 , 0.857 , 4.65 , 1.86 , 53.8 ,The Toronto Stock Exchange (TSX),"DB:6LW
Company: Colabor Group Inc.
(IQT246425065) - Deutsche Boerse AG (DB)"
Coland Holdings Limited (TWSE:4144),TWSE:4144,Health Care (Primary),NM,-, 0.941 , (14.2)  , (4.04)  , 1.08 , 6.18 , 0.499 , 29.9 ,Taiwan Stock Exchange (TWSE),-
Colas SA (ENXTPA:RE),ENXTPA:RE,Industrials (Primary); Energy; Information Technology; Materials; Materials, 42.5 , 197.06 , 1.54 , 1.66 , 3.4 , 1.0 , 5.1 , 1.29 , 28.7 ,Euronext Paris (ENXTPA),"DB:OL3
Company: Colas SA
(IQT557450195) - Deutsche Boerse AG (DB)

LSE:0NZ1
Company: Colas SA
(IQT37874232) - London Stock Exchange (LSE)"
Coles Group Limited (ASX:COL),ASX:COL,Consumer Staples (Primary); Communication Services; Consumer Discretionary; Financials, 21.4 , 17.21 , 8.04 ,-, 39.5 , 0.66 , 5.95 , 2.69 , 80.0 ,Australian Securities Exchange (ASX),"DB:2OF
Company: Coles Group Limited
(IQT601467268) - Deutsche Boerse AG (DB)"
Colevi Inversiones SICAV S.A. (BME:S0669),BME:S0669,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
COLEXON Energy AG,-,Utilities (Primary); Industrials,-,-,-,-,-,-,-,-,-,-,"LSE:0QV6
Company: COLEXON Energy AG
(IQT304426566) - London Stock Exchange (LSE)"
Colfax Corporation (NYSE:CFX),NYSE:CFX,Industrials (Primary); Health Care, 81.2 , 61.56 , 1.48 , 0.362 , 2.17 , 1.33 , 14.9 , 0.417 , 40.2 ,New York Stock Exchange (NYSE),"DB:C52
Company: Colfax Corporation
(IQT44561757) - Deutsche Boerse AG (DB)

LSE:0I1B
Company: Colfax Corporation
(IQT550541376) - London Stock Exchange (LSE)"
Colgate-Palmolive (India) Limited (BSE:500830),BSE:500830,Consumer Staples (Primary); Health Care, 44.0 , 30.18 , 39.1 , 4.95 , 75.0 , 0.848 , 31.2 , 1.76 , 7.25 ,Mumbai Stock Exchange (BSE),"NSEI:COLPAL
Company: Colgate-Palmolive (India) Limited
(IQT46355684) - National Stock Exchange of India (NSEI)"
Colgate-Palmolive Company (NYSE:CL),NYSE:CL,Consumer Staples (Primary); Health Care, 26.2 , 109.73 , 263.0 , 2.13 , 565.7 , 1.01 , 26.2 , 1.06 , 88.2 ,New York Stock Exchange (NYSE),"BOVESPA:COLG34
Company: Colgate-Palmolive Company
(IQT138184583) - Bolsa de Valores de Sao Paulo (BOVESPA)

DB:CPA
Company: Colgate-Palmolive Company
(IQT20149915) - Deutsche Boerse AG (DB)

BMV:CL *
Company: Colgate-Palmolive Company
(IQT20459822) - Bolsa Mexicana de Valores (BMV)

SWX:CL
Company: Colgate-Palmolive Company
(IQT20147583) - SIX Swiss Exchange (SWX)

XTRA:CPA
Company: Colgate-Palmolive Company
(IQT32516952) - XETRA Trading Platform (XTRA)"
Colibri Resource Corporation (TSXV:CBI),TSXV:CBI,Materials (Primary); Materials (Primary), 25.6 , 0.142 , 6.08 ,-, 33.2 , 1.06 ,-,-, 59.6 ,-,"DB:2CO1
Company: Colibri Resource Corporation
(IQT534716101) - Deutsche Boerse AG (DB)"
Colicity Inc. (NasdaqCM:COLI),NasdaqCM:COLI,Financials (Primary),-, 13.09 ,NM,-,-,-,-,-, 48.4 ,Nasdaq Capital Market (NasdaqCM),"NasdaqCM:COLI.U
Company: Colicity Inc.
(IQT703707966) - Nasdaq Capital Market (NasdaqCM)"
Colinz Laboratories Limited (BSE:531210),BSE:531210,Health Care (Primary); Consumer Staples, 59.1 , 0.392 , 1.68 , (7.89)  , 2.94 , 2.82 , 5.39 , 0.652 , 12.0 ,Mumbai Stock Exchange (BSE),-
"Colipays, S.A. (ENXTPA:MLCLP)",ENXTPA:MLCLP,Consumer Staples (Primary), 29.7 , 13.7 , 2.43 ,-,-,-,-,-,-,Euronext Paris (ENXTPA),-
Coliseum Acquisition Corp. (NasdaqCM:MITA.U),NasdaqCM:MITA.U,Financials (Primary),-, 13.29 ,-,-,-,-,-,-,-,Nasdaq Capital Market (NasdaqCM),-
Collabos Corporation (TSE:3908),TSE:3908,Information Technology (Primary); Communication Services; Industrials, 25.1 , 6.28 , 1.31 , 2.67 , 5.36 , 6.02 , 12.8 , 0.907 , 11.9 ,The Tokyo Stock Exchange (TSE),-
Collection House Limited (ASX:CLH),ASX:CLH,Financials (Primary); Consumer Discretionary; Industrials; Information Technology,NM, 0.163 , 0.365 , (5.41)  , (90.8)  , 1.41 , 16.7 , 0.373 , 77.5 ,Australian Securities Exchange (ASX),"DB:LWU
Company: Collection House Limited
(IQT545378377) - Deutsche Boerse AG (DB)"
Collector AB (publ) (OM:COLL),OM:COLL,Financials (Primary); Industrials, 18.6 , 5.77 , 1.5 , (8.0)  , 8.42 ,-,-,-,-,OMX Nordic Exchange Stockholm (OM),"DB:NCA
Company: Collector AB (publ)
(IQT610697246) - Deutsche Boerse AG (DB)

LSE:0R8T
Company: Collector AB (publ)
(IQT304857338) - London Stock Exchange (LSE)"
"Collegium Pharmaceutical, Inc. (NasdaqGS:COLL)",NasdaqGS:COLL,Health Care (Primary), 21.5 , 33.16 , 5.23 , 52.8 , 27.0 , 1.29 , 43.8 , 0.653 , 58.9 ,Nasdaq Global Select (NasdaqGS),"DB:354
Company: Collegium Pharmaceutical, Inc.
(IQT345336851) - Deutsche Boerse AG (DB)"
Colliers International Group Inc. (TSX:CIGI),TSX:CIGI,Real Estate (Primary); Communication Services; Financials; Industrials, 93.2 , 154.41 , 7.7 , 5.15 , 12.0 , 0.925 , 12.0 , 0.901 , 54.9 ,The Toronto Stock Exchange (TSX),"DB:FSV
Company: Colliers International Group Inc.
(IQT611447488) - Deutsche Boerse AG (DB)

NasdaqGS:CIGI
Company: Colliers International Group Inc.
(IQT2612629) - Nasdaq Global Select (NasdaqGS)"
"Collins Co., Ltd. (TWSE:2906)",TWSE:2906,Consumer Discretionary (Primary); Health Care, 55.9 , 0.76 , 1.1 , (0.788)  , 4.79 , 1.46 , 7.17 , 0.723 , 29.8 ,Taiwan Stock Exchange (TWSE),-
Collins Foods Limited (ASX:CKF),ASX:CKF,Consumer Discretionary (Primary); Financials, 54.3 , 12.91 , 4.09 , 15.3 , 7.6 , 1.04 , 12.0 , 1.02 , 66.5 ,Australian Securities Exchange (ASX),"DB:6CF
Company: Collins Foods Limited
(IQT138927423) - Deutsche Boerse AG (DB)"
CollPlant Biotechnologies Ltd. (NasdaqGM:CLGN),NasdaqGM:CLGN,Health Care (Primary), 26.6 , 28.08 , 3.83 , 212.4 , 20.6 , 15.2 , 34.0 , 0.568 , 43.1 ,Nasdaq Global Market (NasdaqGM),"DB:CPT
Company: CollPlant Biotechnologies Ltd.
(IQT717436884) - Deutsche Boerse AG (DB)"
Colombier Acquisition Corp. (NYSE:CLBR.U),NYSE:CLBR.U,Financials (Primary),-, 13.27 ,-,-,-,-,-,-,-,New York Stock Exchange (NYSE),-
Colonial Coal International Corp. (TSXV:CAD),TSXV:CAD,Materials (Primary); Materials (Primary); Energy,NM, 0.599 , 4.93 ,-, (8.81)  , 43.7 ,-,-,-,-,"DB:COX
Company: Colonial Coal International Corp.
(IQT117763504) - Deutsche Boerse AG (DB)"
Colonnade Acquisition Corp. II (NYSE:CLAA),NYSE:CLAA,Financials (Primary),-, 13.13 ,NM,-,-, 0.385 ,-,-, 57.9 ,New York Stock Exchange (NYSE),"NYSE:CLAA.U
Company: Colonnade Acquisition Corp. II
(IQT704455911) - New York Stock Exchange (NYSE)"
"Colony Bankcorp, Inc. (NasdaqGM:CBAN)",NasdaqGM:CBAN,Financials (Primary), 11.1 , 23.9 , 1.17 , 17.4 , 10.8 ,-,-,-,-,Nasdaq Global Market (NasdaqGM),-
"Colony Credit Real Estate, Inc. (NYSE:BRSP)",NYSE:BRSP,Financials (Primary),NM, 13.1 , 0.784 , (3.38)  , (20.5)  , 9.5 , 30.8 , 0.043 , 67.8 ,New York Stock Exchange (NYSE),"DB:41W0
Company: Colony Credit Real Estate, Inc.
(IQT670129864) - Deutsche Boerse AG (DB)"
"COLOPL, Inc. (TSE:3668)",TSE:3668,Communication Services (Primary); Financials; Information Technology, 15.7 , 10.07 , 1.37 , (4.63)  , 8.96 , 11.8 , 23.3 , 0.562 ,-,The Tokyo Stock Exchange (TSE),"DB:3C8
Company: COLOPL, Inc.
(IQT254732332) - Deutsche Boerse AG (DB)"
Coloplast A/S (CPSE:COLO B),CPSE:COLO B,Health Care (Primary), 49.0 , 215.55 , 30.4 , 5.22 , 63.7 , 0.983 , 35.3 , 1.41 , 19.1 ,OMX Nordic Exchange Copenhagen (CPSE),"DB:CBH
Company: Coloplast A/S
(IQT712814124) - Deutsche Boerse AG (DB)

BMV:0QBO N
Company: Coloplast A/S
(IQT290567312) - Bolsa Mexicana de Valores (BMV)

SWX:COLOB
Company: Coloplast A/S
(IQT253888100) - SIX Swiss Exchange (SWX)

LSE:0QBO
Company: Coloplast A/S
(IQT225365309) - London Stock Exchange (LSE)

N/A
Company: Coloplast A/S
(IQT52734829) - XETRA Trading Platform (XTRA)"
"Color Star Technology Co., Ltd. (NasdaqCM:CSCW)",NasdaqCM:CSCW,Information Technology (Primary); Communication Services; Consumer Discretionary,NM, 1.45 , 3.31 , (63.2)  , (114.8)  , 9.29 , (279.2)  ,-, 0.648 ,Nasdaq Capital Market (NasdaqCM),"DB:2J4
Company: Color Star Technology Co., Ltd.
(IQT84101615) - Deutsche Boerse AG (DB)"
Colorchips New Media Limited (BSE:540023),BSE:540023,Communication Services (Primary),NM, 0.854 , 2.74 , (43.9)  , (11.8)  , 1.9 , 12.0 , 0.072 , 0.463 ,Mumbai Stock Exchange (BSE),-
"Colour Life Services Group Co., Limited (SEHK:1778)",SEHK:1778,Real Estate (Primary); Communication Services; Industrials, 7.55 , 0.541 , 0.882 , 30.2 , 12.6 , 1.24 , 28.2 , 0.366 , 36.0 ,The Stock Exchange of Hong Kong Ltd. (SEHK),-
"Colowide Co.,Ltd. (TSE:7616)",TSE:7616,Consumer Discretionary (Primary); Consumer Staples; Financials; Information Technology,NM, 24.09 , 4.72 , (11.9)  , (28.1)  , 0.599 , 7.86 , 0.656 , 82.4 ,The Tokyo Stock Exchange (TSE),-
COLTENE Holding AG (SWX:CLTN),SWX:CLTN,Health Care (Primary), 92.2 , 184.14 , 8.41 , 13.9 , 9.07 , 1.49 , 15.1 , 1.32 , 40.1 ,SIX Swiss Exchange (SWX),"DB:M3Z
Company: COLTENE Holding AG
(IQT27793524) - Deutsche Boerse AG (DB)

LSE:0QP7
Company: COLTENE Holding AG
(IQT259934781) - London Stock Exchange (LSE)"
"Columbia Banking System, Inc. (NasdaqGS:COLB)",NasdaqGS:COLB,Financials (Primary), 14.7 , 51.73 , 1.23 , 6.34 , 8.53 ,-,-,-,-,Nasdaq Global Select (NasdaqGS),-
Columbia Care Inc. (CNSX:CCHW),CNSX:CCHW,Health Care (Primary); Consumer Discretionary; Consumer Staples,NM, 6.29 , 2.92 ,-, (36.1)  , 2.13 , (11.6)  , 0.3 , 47.8 ,-,"DB:3LP
Company: Columbia Care Inc.
(IQT626696511) - Deutsche Boerse AG (DB)"
"Columbia Financial, Inc. (NasdaqGS:CLBK)",NasdaqGS:CLBK,Financials (Primary), 26.9 , 23.2 , 1.87 , 18.6 , 7.33 ,-,-,-,-,Nasdaq Global Select (NasdaqGS),-
"Columbia Property Trust, Inc. (NYSE:CXP)",NYSE:CXP,Real Estate (Primary), 18.3 , 23.67 , 0.776 , 1.01 , 4.26 , 1.68 , 29.8 , 0.072 , 32.2 ,New York Stock Exchange (NYSE),"DB:0UY
Company: Columbia Property Trust, Inc.
(IQT670129129) - Deutsche Boerse AG (DB)"
Columbia Seligman Premium Technology Growth Fund (NYSE:STK),NYSE:STK,Financials (Primary),-, 48.11 ,-,-,-,-,-,-,-,New York Stock Exchange (NYSE),-
Columbia Sportswear Company (NasdaqGS:COLM),NasdaqGS:COLM,Consumer Discretionary (Primary), 41.1 , 132.86 , 3.6 , 0.385 , 9.18 , 3.8 , 12.4 , 0.867 , 18.6 ,Nasdaq Global Select (NasdaqGS),"DB:CUW
Company: Columbia Sportswear Company
(IQT20180822) - Deutsche Boerse AG (DB)"
Columbus A/S (CPSE:COLUM),CPSE:COLUM,Information Technology (Primary), 16.7 , 2.25 , 0.894 , 5.29 , 7.42 , 2.57 , 4.5 , 1.0 , 27.2 ,OMX Nordic Exchange Copenhagen (CPSE),"DB:P1F
Company: Columbus A/S
(IQT574796500) - Deutsche Boerse AG (DB)

LSE:0NPJ
Company: Columbus A/S
(IQT37874237) - London Stock Exchange (LSE)"
Columbus Energy S.A. (WSE:CLC),WSE:CLC,Industrials (Primary), 42.0 , 15.58 , 14.6 , 175.2 , 60.1 , 0.984 , 12.7 , 1.67 , 79.8 ,-,"DB:0Q8
Company: Columbus Energy S.A.
(IQT712839327) - Deutsche Boerse AG (DB)"
"Columbus Inversiones 2000 SICAV, S.A. (BME:S0671)",BME:S0671,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
Columbus McKinnon Corporation (NasdaqGS:CMCO),NasdaqGS:CMCO,Industrials (Primary); Information Technology, 126.2 , 63.98 , 2.17 , (8.19)  , 1.83 , 2.4 , 8.12 , 0.579 , 36.1 ,Nasdaq Global Select (NasdaqGS),"DB:VC3
Company: Columbus McKinnon Corporation
(IQT273486511) - Deutsche Boerse AG (DB)"
coly Inc. (TSE:4175),TSE:4175,Communication Services (Primary); Consumer Discretionary,-, 54.78 ,-,-, 97.4 , 2.39 , 32.8 , 2.74 , 0.418 ,The Tokyo Stock Exchange (TSE),-
Com7 Public Company Limited (SET:COM7),SET:COM7,Consumer Discretionary (Primary); Information Technology, 47.3 , 2.9 , 18.9 , 19.5 , 43.9 , 1.35 , 5.59 , 4.07 , 39.1 ,The Stock Exchange of Thailand (SET),"SET:COM7-R
Company: Com7 Public Company Limited
(IQT308360186) - The Stock Exchange of Thailand (SET)"
Comal S.p.A. (BIT:CML),BIT:CML,Industrials (Primary), 24.1 , 4.77 , 3.02 , 45.2 , 21.3 , 1.42 , 14.7 , 0.708 , 35.2 ,Borsa Italiana (BIT),"DB:9NM
Company: Comal S.p.A.
(IQT670513079) - Deutsche Boerse AG (DB)"
Comanche International Public Company Limited (SET:COMAN),SET:COMAN,Information Technology (Primary),NM, 0.238 , 1.83 , 3.63 , (0.334)  , 11.7 , 1.2 , 0.304 , 3.45 ,The Stock Exchange of Thailand (SET),"SET:COMAN-R
Company: Comanche International Public Company Limited
(IQT409053644) - The Stock Exchange of Thailand (SET)"
Comany Inc. (TSE:7945),TSE:7945,Industrials (Primary), 11.5 , 14.64 , 0.446 , (3.82)  , 3.94 , 4.03 , 6.72 , 0.828 , 16.0 ,The Tokyo Stock Exchange (TSE),-
Comarch S.A. (WSE:CMR),WSE:CMR,Information Technology (Primary); Communication Services; Health Care, 15.7 , 90.03 , 1.85 , 10.6 , 12.1 , 1.76 , 15.9 , 0.801 , 18.9 ,-,"DB:75Y
Company: Comarch S.A.
(IQT241239944) - Deutsche Boerse AG (DB)"
Comba Telecom Systems Holdings Limited (SEHK:2342),SEHK:2342,Information Technology (Primary); Communication Services; Industrials,NM, 0.351 , 1.32 , (3.13)  , (6.89)  , 1.37 , (3.09)  , 0.449 , 26.6 ,The Stock Exchange of Hong Kong Ltd. (SEHK),"DB:COA1
Company: Comba Telecom Systems Holdings Limited
(IQT77492252) - Deutsche Boerse AG (DB)"
CombiGene AB (publ) (OM:COMBI),OM:COMBI,Health Care (Primary),NM, 1.12 , 1.38 , 187.5 , (89.4)  , 5.44 , (235.5)  , 0.176 ,-,OMX Nordic Exchange Stockholm (OM),"DB:COJ0
Company: CombiGene AB (publ)
(IQT683206719) - Deutsche Boerse AG (DB)"
Combine Will International Holdings Limited (SGX:N0Z),SGX:N0Z,Consumer Discretionary (Primary); Industrials; Information Technology; Materials; Materials, 5.4 , 0.88 , 0.24 , (11.1)  , 4.53 , 1.35 , 9.36 , 0.608 , 39.8 ,Singapore Exchange (SGX),-
Combray Cartera Sicav S.A. (BME:S3343),BME:S3343,Financials (Primary),-,-,-,-,-,-,-,-,-,Bolsas y Mercados Espanoles (BME),-
Comcast Corporation (NasdaqGS:CMCS.A),NasdaqGS:CMCS.A,Communication Services (Primary); Consumer Discretionary, 22.3 , 75.33 , 2.8 , 6.09 , 13.2 , 0.955 , 29.6 , 0.386 , 54.9 ,Nasdaq Global Select (NasdaqGS),"BOVESPA:CMCS34
Company: Comcast Corporation
(IQT163047347) - Bolsa de Valores de Sao Paulo (BOVESPA)

DB:CTP2
Company: Comcast Corporation
(IQT111970446) - Deutsche Boerse AG (DB)

BMV:CMCSA *
Company: Comcast Corporation
(IQT20243829) - Bolsa Mexicana de Valores (BMV)

SWX:CMCSA
Company: Comcast Corporation
(IQT253888097) - SIX Swiss Exchange (SWX)

XTRA:CTP2
Company: Comcast Corporation
(IQT32518006) - XETRA Trading Platform (XTRA)"
Come Sure Group (Holdings) Limited (SEHK:794),SEHK:794,Materials (Primary); Materials (Primary); Industrials; Real Estate, 11.5 , 0.114 , 0.346 , (2.02)  , 3.15 , 1.19 , 6.81 , 0.856 , 39.8 ,The Stock Exchange of Hong Kong Ltd. (SEHK),"DB:0CS
Company: Come Sure Group (Holdings) Limited
(IQT53760815) - Deutsche Boerse AG (DB)"
"Comefly Outdoor Co., Ltd. (SHSE:603908)",SHSE:603908,Consumer Discretionary (Primary), 27.7 , 4.78 , 3.28 , 8.75 , 11.9 , 1.65 , 9.14 , 0.79 , 39.6 ,Shanghai Stock Exchange (SHSE),-
Comer Industries S.p.A. (BIT:COM),BIT:COM,Industrials (Primary), 17.8 , 30.92 , 2.7 , 5.05 , 16.0 , 1.68 , 11.0 , 1.34 , 19.9 ,Borsa Italiana (BIT),-
Comerica Incorporated (NYSE:CMA),NYSE:CMA,Financials (Primary), 12.0 , 96.33 , 1.33 , (2.44)  , 11.4 ,-,-,-,-,New York Stock Exchange (NYSE),"BOVESPA:C1MA34
Company: Comerica Incorporated
(IQT652260029) - Bolsa de Valores de Sao Paulo (BOVESPA)

N/A
Company: Comerica Incorporated
(IQT669359488) - Deutsche Boerse AG (DB)

DB:CA3
Company: Comerica Incorporated
(IQT20201123) - Deutsche Boerse AG (DB)

LSE:0I1P
Company: Comerica Incorporated
(IQT549909535) - London Stock Exchange (LSE)"
Comet Holding AG (SWX:COTN),SWX:COTN,Information Technology (Primary), 71.7 , 371.19 , 9.23 , (3.71)  , 13.5 , 1.32 , 12.0 , 0.964 , 27.6 ,SIX Swiss Exchange (SWX),"DB:EZP1
Company: Comet Holding AG
(IQT276859511) - Deutsche Boerse AG (DB)

LSE:0ROQ
Company: Comet Holding AG
(IQT259934783) - London Stock Exchange (LSE)"
Comet Resources Limited (ASX:CRL),ASX:CRL,Materials (Primary); Materials (Primary),NM, 0.018 , 2.78 ,-, (123.2)  , 21.0 ,-,-,-,Australian Securities Exchange (ASX),-
Comet Ridge Limited (ASX:COI),ASX:COI,Energy (Primary),NM, 0.063 , 0.933 ,-, (18.1)  , 0.277 ,-,-,-,Australian Securities Exchange (ASX),-
"Comforia Residential REIT, Inc (TSE:3282)",TSE:3282,Real Estate (Primary), 31.6 ," 4,203.0 ", 1.82 , 8.31 , 6.01 , 0.781 , 60.8 , 0.071 , 52.4 ,The Tokyo Stock Exchange (TSE),-
Comfort Commotrade Limited (BSE:534691),BSE:534691,Financials (Primary), 0.744 , 0.152 , 0.295 , (4.62)  , 49.3 , 2.9 ,-, 2.52 , 11.1 ,Mumbai Stock Exchange (BSE),-
Comfort Fincap Limited (BSE:535267),BSE:535267,Financials (Primary), 4.5 , 0.308 , 0.459 , 14.8 , 10.8 , 2.15 , 76.3 , 0.17 , 42.9 ,Mumbai Stock Exchange (BSE),-
Comfort Intech Limited (BSE:531216),BSE:531216,Financials (Primary); Consumer Discretionary; Consumer Staples; Industrials; Real Estate, 5.58 , 0.337 , 0.519 , 56.0 , 9.85 , 3.14 , 7.36 , 0.679 , 9.23 ,Mumbai Stock Exchange (BSE),-
"Comfort Systems USA, Inc. (NYSE:FIX)",NYSE:FIX,Industrials (Primary), 18.3 , 104.8 , 3.97 , 14.7 , 24.1 , 1.1 , 9.35 , 1.75 , 32.3 ,New York Stock Exchange (NYSE),"DB:9CF
Company: Comfort Systems USA, Inc.
(IQT108563291) - Deutsche Boerse AG (DB)"
ComfortDelGro Corporation Limited (SGX:C52),SGX:C52,Industrials (Primary); Communication Services; Consumer Discretionary; Financials, 57.5 , 1.63 , 1.36 , (3.35)  , 3.07 , 1.41 , 13.5 , 0.604 , 19.7 ,Singapore Exchange (SGX),"DB:VZ10
Company: ComfortDelGro Corporation Limited
(IQT718039933) - Deutsche Boerse AG (DB)

DB:VZ1
Company: ComfortDelGro Corporation Limited
(IQT610894086) - Deutsche Boerse AG (DB)"
Comgest Growth Plc - Comgest Growth Asia Pac Ex Japan Fund,-,Financials (Primary),-,-,-,-,-,-,-,-,-,-,"DB:WYZG
Company: Comgest Growth Plc - Comgest Growth Asia Pac Ex Japan Fund
(IQT262297958) - Deutsche Boerse AG (DB)"
Comgest Growth plc - Comgest Growth Emerging Markets,-,Financials (Primary),-,-,-,-,-,-,-,-,-,-,"DB:WYZF
Company: Comgest Growth plc - Comgest Growth Emerging Markets
(IQT255322119) - Deutsche Boerse AG (DB)"
Cominar Real Estate Investment Trust (TSX:CUF.UN),TSX:CUF.UN,Real Estate (Primary),NM, 12.03 , 0.731 , (7.38)  , (10.9)  , 0.528 , 47.8 , 0.1 , 56.5 ,The Toronto Stock Exchange (TSX),"DB:5G9
Company: Cominar Real Estate Investment Trust
(IQT670545190) - Deutsche Boerse AG (DB)"
"Cominix Co.,Ltd. (TSE:3173)",TSE:3173,Industrials (Primary), 17.5 , 9.17 , 0.898 , (3.82)  , 5.08 , 1.63 , 1.1 , 1.25 , 50.7 ,The Tokyo Stock Exchange (TSE),-
Commander Resources Ltd. (TSXV:CMD),TSXV:CMD,Materials (Primary); Materials (Primary),NM, 0.223 , 4.06 ,-, (19.4)  , 16.2 ,-,-, 4.96 ,-,"DB:GW5A
Company: Commander Resources Ltd.
(IQT22562998) - Deutsche Boerse AG (DB)"
"Commcenter, S.A. (BME:CMM)",BME:CMM,Information Technology (Primary),NM,-, 1.0 , (11.5)  , (6.21)  , 1.09 , 3.6 , 1.17 , 75.1 ,Bolsas y Mercados Espanoles (BME),-
"Commerce Bancshares, Inc. (NasdaqGS:CBSH)",NasdaqGS:CBSH,Financials (Primary), 21.1 , 99.79 , 2.69 , 2.89 , 13.3 ,-,-,-,-,Nasdaq Global Select (NasdaqGS),"DB:CB5
Company: Commerce Bancshares, Inc.
(IQT20208234) - Deutsche Boerse AG (DB)"
Commerce One Holdings Inc. (TSE:4496),TSE:4496,Information Technology (Primary), 23.1 , 30.4 ,-, 14.8 , 27.7 , 2.19 , 25.4 , 1.14 , 21.5 ,The Tokyo Stock Exchange (TSE),-
Commerce Resources Corp. (TSXV:CCE),TSXV:CCE,Materials (Primary); Materials (Primary),NM, 0.283 , 0.282 ,-, (2.01)  , 6.18 ,-,-,-,-,"DB:D7H0
Company: Commerce Resources Corp.
(IQT27752371) - Deutsche Boerse AG (DB)"
Commercial Engineers & Body Builders Co Limited (BSE:533272),BSE:533272,Industrials (Primary); Materials; Materials, 22.9 , 0.594 , 2.61 , 55.2 , 12.1 , 1.12 , 7.69 , 1.58 , 34.4 ,Mumbai Stock Exchange (BSE),"NSEI:CEBBCO
Company: Commercial Engineers & Body Builders Co Limited
(IQT113971555) - National Stock Exchange of India (NSEI)"
Commercial International Bank (Egypt) S.A.E (CASE:COMI),CASE:COMI,Financials (Primary), 7.98 , 4.43 , 1.3 , 16.2 , 20.2 ,-,-,-,-,-,"LSE:CBKD
Company: Commercial International Bank (Egypt) S.A.E
(IQT20203650) - London Stock Exchange (LSE)"
Commercial Metals Company (NYSE:CMC),NYSE:CMC,Materials (Primary); Materials (Primary); Industrials, 11.5 , 41.36 , 1.74 , 11.4 , 16.6 , 2.95 , 10.7 , 1.4 , 39.0 ,New York Stock Exchange (NYSE),"DB:CMS
Company: Commercial Metals Company
(IQT111772920) - Deutsche Boerse AG (DB)

XTRA:CMS
Company: Commercial Metals Company
(IQT136880627) - XETRA Trading Platform (XTRA)"
Commercial Syn Bags Limited (BSE:539986),BSE:539986,Materials (Primary); Materials (Primary); Consumer Discretionary; Industrials, 14.1 , 2.57 , 2.15 , 9.87 , 16.2 , 1.35 , 11.6 , 1.27 , 51.5 ,Mumbai Stock Exchange (BSE),-
"Commercial Vehicle Group, Inc. (NasdaqGS:CVGI)",NasdaqGS:CVGI,Industrials (Primary); Consumer Discretionary,NM, 14.13 , 3.27 , (0.921)  , (3.97)  , 1.87 , 5.43 , 1.61 , 65.7 ,Nasdaq Global Select (NasdaqGS),"DB:FDU
Company: Commercial Vehicle Group, Inc.
(IQT260127860) - Deutsche Boerse AG (DB)"
Commerzbank AG (XTRA:CBK),XTRA:CBK,Financials (Primary),NM, 9.77 , 0.268 , (3.29)  , (8.06)  ,-,-,-,-,XETRA Trading Platform (XTRA),"DB:ZZMS
Company: Commerzbank AG
(IQT98836466) - Deutsche Boerse AG (DB)

DB:DSF1
Company: Commerzbank AG
(IQT24422312) - Deutsche Boerse AG (DB)

BIT:CBK
Company: Commerzbank AG
(IQT269196566) - Borsa Italiana (BIT)

SWX:CBK
Company: Commerzbank AG
(IQT237479082) - SIX Swiss Exchange (SWX)

LSE:0RLW
Company: Commerzbank AG
(IQT236777253) - London Stock Exchange (LSE)"
Commerzbank CCBI Investment Funds ICVC - Commerzbank CCBI RQFII Money Market UCITS ETF,-,Financials (Primary),-,-,-,-,-,-,-,-,-,-,"XTRA:CCMR
Company: Commerzbank CCBI Investment Funds ICVC - Commerzbank CCBI RQFII Money Market UCITS ETF
(IQT317208288) - XETRA Trading Platform (XTRA)

XTRA:CCME
Company: Commerzbank CCBI Investment Funds ICVC - Commerzbank CCBI RQFII Money Market UCITS ETF
(IQT317208286) - XETRA Trading Platform (XTRA)"
