Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
National Chlorine Industries Co. Ltd. (ASE:NATC),ASE:NATC,Commodity Chemicals (Primary),Public Company, 12.9 , 2.31 , 1.1 , 15.7 , 8.68 ,-, 33.4 , 0.43 ,-
National Industrialization Company (SASE:2060),SASE:2060,Commodity Chemicals (Primary),Public Company,NM, 6.8 , 1.7 , (36.0)  , 0.351 , 1.31 , (1.11)  , 0.101 , 43.4 
National Peroxide Limited (BSE:500298),BSE:500298,Commodity Chemicals (Primary),Public Company, 42.1 , 43.29 , 1.15 ,-,-,-, 20.9 , 0.159 , 16.8 
National Petrochemical Company (SASE:2002),SASE:2002,Commodity Chemicals (Primary),Public Company, 43.1 , 16.13 , 2.51 , (5.45)  , 5.83 , 1.82 , 31.6 , 0.343 , 15.8 
National Plastic Technologies Limited (BSE:531287),BSE:531287,Commodity Chemicals (Primary),Public Company, 20.6 , 0.781 , 1.01 , 11.5 , 5.05 , 1.09 , 8.66 , 1.02 , 65.8 
National Polymer Industries Limited (DSE:NPOLYMAR),DSE:NPOLYMAR,Commodity Chemicals (Primary),Public Company, 19.0 , 0.993 , 2.22 , 18.6 , 7.69 , 1.67 , 15.3 , 0.791 , 69.3 
"Natoco Co., Ltd. (JASDAQ:4627)",JASDAQ:4627,Commodity Chemicals (Primary),Public Company, 8.3 , 19.66 , 0.611 , 1.34 , 7.64 , 3.55 , 14.2 , 0.669 ,-
"NDFOS Co., Ltd. (KOSDAQ:A238090)",KOSDAQ:A238090,Commodity Chemicals (Primary),Public Company, 12.1 , 5.23 , 1.78 , 5.4 , 13.8 , 4.54 , 8.9 , 0.488 , 13.8 
"New Japan Chemical Co., Ltd. (TSE:4406)",TSE:4406,Commodity Chemicals (Primary),Public Company, 19.9 , 3.27 , 0.657 , (3.89)  , 3.59 , 1.42 , 3.77 , 0.712 , 35.5 
Nexam Chemical Holding AB (publ) (OM:NEXAM),OM:NEXAM,Commodity Chemicals (Primary),Public Company,NM, 2.12 , 4.87 , 59.7 , (4.32)  , 3.05 , 3.33 , 0.694 , 17.7 
Ngai Hing Hong Company Limited (SEHK:1047),SEHK:1047,Commodity Chemicals (Primary),Public Company, 5.91 , 0.084 , 0.328 , (3.27)  , 6.56 , 1.57 , 5.1 , 1.57 , 43.2 
NHP Production Import - Export Joint Stock Company (HNX:NHP),HNX:NHP,Commodity Chemicals (Primary),Public Company, 0.883 ,-, 0.069 ,-,-,-,-, 0.164 , 26.3 
Nikhil Adhesives Limited (BSE:526159),BSE:526159,Commodity Chemicals (Primary),Public Company, 33.4 , 11.92 , 6.49 , 7.3 ,-,-, 5.82 , 2.24 , 43.5 
Nimir Industrial Chemicals Limited (KASE:NICL),KASE:NICL,Commodity Chemicals (Primary),Public Company, 9.88 , 1.28 , 3.42 , 25.1 , 37.2 , 1.25 , 14.1 , 1.73 , 56.3 
Nimir Resins Limited (KASE:NRSL),KASE:NRSL,Commodity Chemicals (Primary),Public Company, 21.0 , 0.176 , 2.94 , 18.1 , 17.0 , 1.63 , 10.5 , 1.37 , 38.9 
Nimir Resins Ltd.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Ningbo Bohui Chemical Technology Co.,Ltd (SZSE:300839)",SZSE:300839,Commodity Chemicals (Primary),Public Company, 41.5 , 4.62 , 2.72 , 32.4 , 8.13 , 1.43 , 7.66 , 0.754 , 37.0 
"Ningbo Exciton Technology Co., Ltd. (SZSE:300566)",SZSE:300566,Commodity Chemicals (Primary),Public Company, 44.8 , 6.02 , 7.76 , 25.3 , 19.8 , 1.14 , 14.4 , 0.663 , 41.7 
"Ningbo Henghe Precision Industry Co.,Ltd. (SZSE:300539)",SZSE:300539,Commodity Chemicals (Primary),Public Company, 69.7 , 1.73 , 3.63 , 9.18 , 4.18 , 1.08 , 12.7 , 0.562 , 37.6 
"Ningbo Runhe High-Tech Materials Co., Ltd. (SZSE:300727)",SZSE:300727,Commodity Chemicals (Primary),Public Company, 65.1 , 7.18 , 7.05 , 17.9 , 11.3 , 1.62 , 11.5 , 0.86 ,-
"Ningbo Solartron Technology Co.,Ltd. (SHSE:688299)",SHSE:688299,Commodity Chemicals (Primary),Public Company, 39.7 , 5.47 , 4.11 ,-, 10.7 , 3.52 , 21.1 , 0.493 , 1.13 
"Ningbo Tianlong Electronics Co., Ltd. (SHSE:603266)",SHSE:603266,Commodity Chemicals (Primary),Public Company, 21.5 , 2.41 , 2.18 , 8.89 , 10.8 , 2.99 , 13.7 , 0.768 ,-
"Ningxia Yinglite Chemicals Co., Ltd (SZSE:000635)",SZSE:000635,Commodity Chemicals (Primary),Public Company, 20.5 , 2.18 , 1.15 , 6.86 , 5.64 , 3.05 , 15.5 , 0.627 ,-
"Nippon Carbide Industries Co., Inc. (TSE:4064)",TSE:4064,Commodity Chemicals (Primary),Public Company, 4.52 , 15.6 , 0.417 , (5.95)  , 9.43 , 1.73 , 10.4 , 0.675 , 39.9 
"Nippon Chemical Industrial Co., Ltd. (TSE:4092)",TSE:4092,Commodity Chemicals (Primary),Public Company, 11.9 , 35.88 , 0.662 , (1.99)  , 5.83 , 1.75 , 16.4 , 0.509 , 28.5 
"Nippon Pillar Packing Co., Ltd. (TSE:6490)",TSE:6490,Commodity Chemicals (Primary),Public Company, 15.1 , 26.59 , 1.13 , 0.829 , 7.76 , 3.93 , 22.9 , 0.559 , 0.552 
NiroCholor Co.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Noble Explochem Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
NOCIL Limited (BSE:500730),BSE:500730,Commodity Chemicals (Primary),Public Company, 39.6 , 3.83 , 2.72 , (1.5)  , 7.16 , 2.96 , 14.1 , 0.605 , 0.3 
"NOROO Holdings Co., Ltd. (KOSE:A000320)",KOSE:A000320,Commodity Chemicals (Primary),Public Company, 11.3 , 17.05 , 0.404 , 3.23 , 5.13 , 1.38 , 7.15 , 0.824 , 27.3 
"NOROO PAINT & COATINGS Co., Ltd. (KOSE:A090350)",KOSE:A090350,Commodity Chemicals (Primary),Public Company, 15.3 , 16.04 , 0.829 , 4.98 , 5.69 , 1.14 , 7.45 , 0.994 , 27.0 
North East Rubbers Public Company Limited (SET:NER),SET:NER,Commodity Chemicals (Primary),Public Company, 9.67 , 0.29 , 2.71 , 22.6 , 32.7 , 1.62 , 8.5 , 1.8 , 62.3 
"North Huajin Chemical Industries Co.,Ltd (SZSE:000059)",SZSE:000059,Commodity Chemicals (Primary),Public Company, 6.95 , 1.56 , 0.85 , (1.74)  , 12.9 , 1.73 , 10.8 , 1.06 , 44.9 
Northwest Yongxin Chemical Industry Co. Ltd.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Novoray Corporation (SHSE:688300),SHSE:688300,Commodity Chemicals (Primary),Public Company, 40.7 , 12.8 , 5.28 , 27.2 , 13.6 , 8.97 , 30.4 , 0.382 ,-
"NPK.Co.,Ltd (KOSDAQ:A048830)",KOSDAQ:A048830,Commodity Chemicals (Primary),Public Company,NM, 2.88 , 1.15 , (4.11)  , (0.014)  , 1.17 , 10.7 , 0.822 , 27.4 
"NSM Co., Ltd. (XKON:A238170)",XKON:A238170,Commodity Chemicals (Primary),Public Company,NM, 1.57 , 0.73 ,-,-,-,-,-,-
NuEarth Corporation (OTCPK:NUEC),OTCPK:NUEC,Commodity Chemicals (Primary),Public Company, 0.197 , 0.017 , 0.097 ,-,-,-,-,-,-
Nuplex Industries Limited,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
O'Sullivan Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Ocean Plastics Co., Ltd. (TWSE:1321)",TWSE:1321,Commodity Chemicals (Primary),Public Company, 12.5 , 1.81 , 1.13 , 5.71 , 10.3 , 1.93 , 8.44 , 0.419 , 33.1 
"Okamoto Industries, Inc. (TSE:5122)",TSE:5122,Commodity Chemicals (Primary),Public Company, 13.9 , 51.5 , 1.17 , (1.4)  , 8.37 , 2.32 , 12.9 , 0.799 , 5.03 
"Okura Industrial Co., Ltd. (TSE:4221)",TSE:4221,Commodity Chemicals (Primary),Public Company, 8.45 , 30.74 , 0.597 , (3.2)  , 7.41 , 1.64 , 12.3 , 0.975 , 10.3 
Olin Corporation (NYSE:OLN),NYSE:OLN,Commodity Chemicals (Primary),Public Company,NM, 59.67 , 4.16 , (0.838)  , (32.4)  , 1.65 , 15.8 , 0.66 , 74.5 
Oman Chlorine S.A.O.G. (MSM:OCHL),MSM:OCHL,Commodity Chemicals (Primary),Public Company,NM,-, 0.78 , 19.4 , (5.19)  , 0.737 , 28.1 , 0.169 , 65.3 
ONE Bio Corp. (OTCPK:ONBI),OTCPK:ONBI,Commodity Chemicals (Primary),Public Company, 0.012 , 0.019 , 0.002 ,-,-,-,-,-,-
"Orbia Advance Corporation, S.A.B. de C.V. (BMV:ORBIA *)",BMV:ORBIA *,Commodity Chemicals (Primary),Public Company, 17.8 , 3.38 , 2.17 , 2.71 , 14.0 , 1.11 , 20.8 , 0.633 , 56.6 
Orica Limited (ASX:ORI),ASX:ORI,Commodity Chemicals (Primary),Public Company, 70.8 , 13.95 , 1.81 , 1.37 , 2.57 , 1.73 , 11.7 , 0.715 , 48.8 
Oriental Carbon & Chemicals Limited (BSE:506579),BSE:506579,Commodity Chemicals (Primary),Public Company, 13.8 , 19.74 , 2.04 , 1.57 , 16.2 , 2.52 , 33.4 , 0.512 , 22.6 
Oriental Union Chemical Corporation (TWSE:1710),TWSE:1710,Commodity Chemicals (Primary),Public Company,NM, 1.01 , 1.44 , (10.9)  , (1.15)  , 0.852 , 6.5 , 0.529 , 52.0 
"Orinko Advanced Plastics Co.,LTD. (SHSE:688219)",SHSE:688219,Commodity Chemicals (Primary),Public Company, 36.6 , 3.44 , 4.41 ,-,-, 1.12 , 7.54 , 0.966 , 44.2 
Orion Engineered Carbons S.A. (NYSE:OEC),NYSE:OEC,Commodity Chemicals (Primary),Public Company, 48.6 , 25.59 , 5.68 , (6.31)  , 12.8 , 1.51 , 14.6 , 0.859 , 82.0 
Orzel Spolka Akcyjna (WSE:ORL),WSE:ORL,Commodity Chemicals (Primary),Public Company, 19.7 , 0.839 , 13.9 , 8.91 ,NM, 1.55 , 31.4 , 0.509 , 78.8 
OTI Greentech AG (DUSE:NSAK),DUSE:NSAK,Commodity Chemicals (Primary),Public Company,NM, 1.69 , 1.24 ,-,-,-,-, 0.628 , 16.2 
Oxiquim S.A. (SNSE:OXIQUIM),SNSE:OXIQUIM,Commodity Chemicals (Primary),Public Company, 9.17 , 11.44 , 1.89 , 2.36 , 20.8 , 1.48 , 15.5 , 0.973 , 36.2 
"P&H Tech Co., Ltd. (KOSDAQ:A239890)",KOSDAQ:A239890,Commodity Chemicals (Primary),Public Company,-, 43.04 ,-,-,-, 1.99 , 2.53 , 0.501 , 60.4 
"Paik Kwang Industrial Co., Ltd. (KOSE:A001340)",KOSE:A001340,Commodity Chemicals (Primary),Public Company, 26.0 , 7.77 , 1.62 , 4.7 , 6.39 , 0.572 , 16.8 , 0.526 , 35.2 
Paints and Chemical Industries Company Pachin S.A.E. (CASE:PACH),CASE:PACH,Commodity Chemicals (Primary),Public Company, 8.63 , 1.86 , 0.941 , (4.81)  , 11.2 , 2.92 , 8.92 , 1.04 , 0.152 
Pakistan PVC Limited (KASE:PPVC),KASE:PPVC,Commodity Chemicals (Primary),Public Company,NM, 0.061 ,NM, 6.37 ,NM, 0.014 , (208.6)  , 0.03 ,NM
Pakistan Synthetics Limited (KASE:PSYL),KASE:PSYL,Commodity Chemicals (Primary),Public Company, 13.4 , 0.227 , 1.16 , 11.6 , 9.02 , 1.02 , 10.4 , 1.19 , 57.5 
Palram Industries (1990) Ltd (TASE:PLRM),TASE:PLRM,Commodity Chemicals (Primary),Public Company, 3.48 , 15.09 , 1.21 , 10.6 , 38.4 , 2.54 , 22.2 , 1.34 , 19.2 
Pan Electronics (India) Limited (BSE:517397),BSE:517397,Commodity Chemicals (Primary),Public Company,-, 0.416 ,-,-,NM, 5.33 ,NM,-, 71.9 
Panama Petrochem Limited (BSE:524820),BSE:524820,Commodity Chemicals (Primary),Public Company, 10.4 , 4.21 , 2.5 , 2.95 , 27.2 , 1.86 , 13.5 , 1.65 , 10.5 
Pars Oil Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Parx Materials N.V. (ENXTPA:MLPRX),ENXTPA:MLPRX,Commodity Chemicals (Primary),Public Company,-, 3.09 ,-, (28.9)  , (7.79)  , 2.09 ,-, 0.017 ,-
Patricios S.A.I.C. (BASE:PATR),BASE:PATR,Commodity Chemicals (Primary),Public Company, 0.374 ,-, 0.064 , 24.7 , 20.0 , 1.61 ,-, 2.64 , 13.4 
PCC Exol S.A. (WSE:PCX),WSE:PCX,Commodity Chemicals (Primary),Public Company, 13.4 , 1.07 , 1.7 , 2.25 , 13.2 , 1.3 , 10.2 , 1.07 , 41.6 
Peachtree FiberOptics Inc.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Pearl River Holdings Limited (TSXV:PRH),TSXV:PRH,Commodity Chemicals (Primary),Public Company, 3.18 , 0.322 , 0.49 , 10.3 , 16.4 , 2.49 , 10.3 , 1.7 , 21.5 
"Perf Go Green Holdings, Inc. (OTCPK:PGOG)",OTCPK:PGOG,Commodity Chemicals (Primary),Public Company,NM,-,NM,-,-,-,-,-,-
Petkim Petrokimya Holding A.S. (IBSE:PETKM),IBSE:PETKM,Commodity Chemicals (Primary),Public Company, 7.25 , 0.876 , 1.71 , 24.6 , 29.9 , 2.05 , 19.3 , 0.662 , 57.5 
Petrochemical Industries Investment Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Petrolimex Petrochemical Corporation - Joint Stock Company (HNX:PLC),HNX:PLC,Commodity Chemicals (Primary),Public Company, 13.8 , 1.6 , 1.72 , 3.5 , 12.9 , 1.06 , 5.36 , 1.22 , 60.0 
Petrolite Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
PETRONAS Chemicals Group Berhad (KLSE:PCHEM),KLSE:PCHEM,Commodity Chemicals (Primary),Public Company, 24.8 , 2.59 , 2.02 , (5.0)  , 8.09 , 5.31 , 30.4 , 0.365 , 9.3 
Pha Le Plastics Manufacturing and Technology Joint Stock Company (HOSE:PLP),HOSE:PLP,Commodity Chemicals (Primary),Public Company,-, 0.593 ,-,-,-,-,-,-,-
Phillips Carbon Black Limited (BSE:506590),BSE:506590,Commodity Chemicals (Primary),Public Company, 12.2 , 4.02 , 1.97 , 1.31 , 17.2 , 1.33 , 18.5 , 0.756 , 27.1 
"Phoenix Medical Technology, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Phuoc Hoa Rubber Joint Stock Company (HOSE:PHR),HOSE:PHR,Commodity Chemicals (Primary),Public Company, 8.67 , 3.41 , 2.5 , 3.86 , 32.9 , 3.58 , 22.2 , 0.263 , 16.3 
"PI Advanced Materials Co., Ltd. (KOSDAQ:A178920)",KOSDAQ:A178920,Commodity Chemicals (Primary),Public Company, 32.9 , 60.39 , 5.38 , 5.61 , 17.1 , 1.57 , 31.6 , 0.657 , 17.7 
"Planet Polymer Technologies, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Plasgroup Ltd.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Plastec Technologies, Ltd. (OTCPK:PLTY.F)",OTCPK:PLTY.F,Commodity Chemicals (Primary),Public Company,NM, 5.97 , 2.6 ,-, (2.0)  , 15.8 ,-,-,-
Plastigone Technologies Inc.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Plastika Kritis S.A. (ATSE:PLAKR),ATSE:PLAKR,Commodity Chemicals (Primary),Public Company, 10.0 , 27.02 , 1.58 , 2.47 , 16.7 , 6.35 , 22.6 , 0.866 , 4.85 
"Plastika, a.s. (BSSE:1PLS01AE)",BSSE:1PLS01AE,Commodity Chemicals (Primary),Public Company,NM,-,NM,-,-,-,-,-,-
Plastiques du Val de Loire (ENXTPA:PVL),ENXTPA:PVL,Commodity Chemicals (Primary),Public Company,NM, 11.55 , 0.626 , 0.189 , (4.77)  , 1.41 , 3.9 , 0.815 , 53.7 
Plastiran Manufacturing Co.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Platinum Research Organization, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Platinum Research Organization, Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
POCL Enterprises Limited (BSE:539195),BSE:539195,Commodity Chemicals (Primary),Public Company,NM, 0.953 , 0.908 , (12.8)  ,-,-, 0.84 , 2.52 , 68.6 
"POET, LLC (OTCPK:PTBB.U)",OTCPK:PTBB.U,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Polipropileno S.A.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Poly Plastic Masterbatch (SuZhou) Co.,Ltd (SZSE:300905)",SZSE:300905,Commodity Chemicals (Primary),Public Company, 29.4 , 6.16 , 3.32 ,-,-, 10.7 , 20.1 , 0.745 ,-
"Poly Union Chemical Holding Group Co., Ltd. (SZSE:002037)",SZSE:002037,Commodity Chemicals (Primary),Public Company, 15.9 , 1.25 , 0.851 , 3.41 , 4.68 , 1.33 ,-, 0.427 , 55.7 
Polyacryl IRAN Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Polychem Limited (BSE:506605),BSE:506605,Commodity Chemicals (Primary),Public Company, 28.2 , 12.53 , 1.14 ,-,-,-, 2.52 , 1.23 , 2.9 
Polylink Polymers (India) Limited (BSE:531454),BSE:531454,Commodity Chemicals (Primary),Public Company, 49.4 , 0.307 , 1.54 , 2.61 ,-,-, 4.77 , 1.65 , 2.56 
Polymer Link Holdings Berhad (KLSE:POLYMER),KLSE:POLYMER,Commodity Chemicals (Primary),Public Company, 20.2 ,-, 2.77 ,-, 14.5 , 1.75 , 14.4 , 0.919 , 47.6 
Polymeric Resources Corporation (OTCPK:PLYR),OTCPK:PLYR,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Polyplex Corporation Limited (BSE:524051),BSE:524051,Commodity Chemicals (Primary),Public Company, 7.84 , 23.12 , 1.31 , 11.2 , 18.5 , 2.96 , 24.7 , 0.824 , 11.1 
Polyram Plastic Industries LTD (TASE:POLP),TASE:POLP,Commodity Chemicals (Primary),Public Company, 16.7 , 4.73 , 2.81 ,-, 17.0 , 1.6 , 16.8 , 0.846 , 36.5 
"Polyrocks Chemical Co., Ltd (SHSE:688669)",SHSE:688669,Commodity Chemicals (Primary),Public Company, 14.5 , 6.66 , 2.04 ,-,-, 2.27 , 14.0 , 1.3 , 41.8 
Pongs & Zahn AG (DB:PUZ),DB:PUZ,Commodity Chemicals (Primary),Public Company,NM, 0.041 , 0.025 ,-,-,-,-,-,-
"Pontex Polyblend Co.,Ltd (TPEX:8935)",TPEX:8935,Commodity Chemicals (Primary),Public Company,NM, 0.641 , 1.4 , 23.7 , (0.923)  , 1.17 , 4.32 , 0.601 , 52.0 
Portage Industries Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Portland Paints & Products Nigeria Plc (NGSE:PORTPAINT),NGSE:PORTPAINT,Commodity Chemicals (Primary),Public Company,NM, 0.008 , 1.48 , (9.43)  , (17.8)  , 14.4 , (15.1)  , 0.818 , 1.49 
"POVAL KOGYO Co., Ltd. (NSE:4247)",NSE:4247,Commodity Chemicals (Primary),Public Company, 15.3 , 14.76 , 0.627 , 3.63 , 4.24 , 4.25 , 13.7 , 0.526 , 0.386 
Premier Explosives Limited (BSE:526247),BSE:526247,Commodity Chemicals (Primary),Public Company,NM, 2.45 , 0.773 ,-,-,-, (2.25)  , 0.543 , 22.6 
Premier Paints Plc (NGSE:PREMPAINTS),NGSE:PREMPAINTS,Commodity Chemicals (Primary),Public Company,NM, 0.032 ,NM, (26.3)  ,NM, 0.019 , (28.3)  , 0.401 ," 6,710.9 "
Privi Speciality Chemicals Limited (BSE:530117),BSE:530117,Commodity Chemicals (Primary),Public Company, 36.5 , 19.81 , 5.9 , 7.62 , 16.0 , 1.54 , 16.1 , 0.812 , 41.0 
"Prvá strategická, a.s. (BSSE:1PRV001E)",BSSE:1PRV001E,Commodity Chemicals (Primary),Public Company,NM, 4.02 , 0.097 ,-,-,-,-,-,-
PT Asiaplast Industries Tbk. (IDX:APLI),IDX:APLI,Commodity Chemicals (Primary),Public Company, 89.5 , 0.018 , 1.28 , (4.65)  , 1.43 , 1.72 , 12.9 , 0.95 , 41.0 
PT Barito Pacific Tbk (IDX:BRPT),IDX:BRPT,Commodity Chemicals (Primary),Public Company, 66.7 , 0.08 , 3.91 , (6.97)  , 8.32 , 2.14 , 31.7 , 0.314 , 49.4 
PT Emdeki Utama Tbk (IDX:MDKI),IDX:MDKI,Commodity Chemicals (Primary),Public Company, 12.9 , 0.019 , 0.597 , (2.4)  , 4.71 , 8.0 , 16.5 , 0.369 , 0.034 
PT Impack Pratama Industri Tbk (IDX:IMPC),IDX:IMPC,Commodity Chemicals (Primary),Public Company, 69.0 , 0.169 , 6.7 , 16.0 , 8.22 , 2.1 , 17.5 , 0.692 , 34.3 
PT Indo Acidatama Tbk (IDX:SRSN),IDX:SRSN,Commodity Chemicals (Primary),Public Company, 10.3 , 0.005 , 0.581 , 18.8 , 5.95 , 1.95 , 9.73 , 1.06 , 30.8 
PT Indo Komoditi Korpora Tbk (IDX:INCF),IDX:INCF,Commodity Chemicals (Primary),Public Company,NM, 0.01 , 1.3 , (14.5)  , (11.2)  , 1.34 , 6.79 , 1.07 , 66.9 
PT Lotte Chemical Titan Tbk (IDX:FPNI),IDX:FPNI,Commodity Chemicals (Primary),Public Company, 12.4 , 0.022 , 0.903 , (6.03)  , 7.55 , 1.54 , 3.99 , 1.96 , 0.873 
PT Tri Polyta Indonesia Tbk,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
PT Tridomain Performance Materials Tbk (IDX:TDPM),IDX:TDPM,Commodity Chemicals (Primary),Public Company, 16.0 ,-, 0.546 , 16.2 , 3.23 , 0.975 , 13.0 , 0.936 , 47.9 
PT. Chandra Asri Petrochemical Tbk (IDX:TPIA),IDX:TPIA,Commodity Chemicals (Primary),Public Company, 75.4 , 0.877 , 6.12 , (8.06)  , 8.45 , 2.04 , 17.7 , 0.513 , 31.8 
PT. Polychem Indonesia Tbk (IDX:ADMG),IDX:ADMG,Commodity Chemicals (Primary),Public Company,NM, 0.014 , 0.253 , (21.7)  , (20.6)  , 3.49 , (11.5)  , 0.663 ,-
PTT Global Chemical Public Company Limited (SET:PTTGC),SET:PTTGC,Commodity Chemicals (Primary),Public Company, 14.1 , 2.51 , 0.904 , (9.08)  , 6.58 , 2.73 , 10.8 , 0.699 , 34.9 
Public Joint Stock Company Nizhnekamskneftekhim (MISX:NKNC),MISX:NKNC,Commodity Chemicals (Primary),Public Company, 20.0 , 1.82 , 1.31 , (2.79)  , 6.39 , 2.52 , 18.3 , 0.636 , 41.3 
Public Joint Stock Company Vladimir Chemical Plant (MISX:VLHZ),MISX:VLHZ,Commodity Chemicals (Primary),Public Company,NM, 1.24 , 1.21 , (0.463)  , (13.8)  , 0.875 , 0.768 , 2.33 , 64.0 
Punjab Alkalies & Chemicals Limited (BSE:506852),BSE:506852,Commodity Chemicals (Primary),Public Company, 28.7 , 1.55 , 2.62 , (12.1)  , 9.86 , 0.36 , (6.24)  , 0.956 , 2.86 
"PureCycle Technologies, Inc. (NasdaqCM:PCT)",NasdaqCM:PCT,Commodity Chemicals (Primary),Public Company,NM, 30.14 , 7.7 ,-,-, 8.47 ,-,-, 70.9 
PureTec Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Puyang Refractories Group Co., Ltd. (SZSE:002225)",SZSE:002225,Commodity Chemicals (Primary),Public Company, 14.1 , 0.888 , 1.42 , 10.6 , 9.88 , 1.47 , 12.2 , 0.696 , 18.2 
Pyrolyx AG (OTCPK:PYRO.F),OTCPK:PYRO.F,Commodity Chemicals (Primary),Public Company,NM,-, 34.6 , 131.7 , (296.9)  , 0.097 , (255.7)  , 0.043 , 92.6 
"Qingdao Gon Technology Co., Ltd. (SZSE:002768)",SZSE:002768,Commodity Chemicals (Primary),Public Company, 9.28 , 5.26 , 2.13 , 48.6 , 25.3 , 2.12 , 12.9 , 1.39 , 24.3 
Quaker State Corporation,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Qualipoly Chemical Corporation (TWSE:4722),TWSE:4722,Commodity Chemicals (Primary),Public Company, 10.4 , 1.62 , 1.24 , (7.2)  , 12.2 , 2.62 , 10.6 , 1.16 , 3.45 
Quang Nam Rubber Investment Joint Stock Company (UNQ-VNM:VHG),UNQ-VNM:VHG,Commodity Chemicals (Primary),Public Company,NM,-, 1.04 ,-, (31.0)  , 2.37 ,-,-,-
"Quechen Silicon Chemical Co., Ltd. (SHSE:605183)",SHSE:605183,Commodity Chemicals (Primary),Public Company, 27.6 , 3.41 , 2.75 , 2.66 , 11.0 , 4.93 , 32.5 , 0.447 , 3.93 
Quimpac S.A. (BVL:QUIMPAI1),BVL:QUIMPAI1,Commodity Chemicals (Primary),Public Company, 30.7 ,-, 0.188 , (6.07)  , 1.08 , 1.41 , 18.1 , 0.37 , 43.2 
Qurain Petrochemical Industries Company K.S.C.P. (KWSE:ALQURAIN),KWSE:ALQURAIN,Commodity Chemicals (Primary),Public Company, 28.1 , 1.75 , 0.977 , 8.97 , 5.06 , 2.45 , 18.5 , 0.301 , 12.3 
Rafia Industries Co.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Rain Industries Limited (BSE:500339),BSE:500339,Commodity Chemicals (Primary),Public Company, 9.77 , 3.46 , 1.16 , (4.49)  ,-,-, 16.1 , 0.606 , 60.8 
Ram-On Investments and Holdings (1999) Ltd (TASE:RMN),TASE:RMN,Commodity Chemicals (Primary),Public Company, 2.2 , 5.8 , 1.41 , 0.476 , 62.9 , 1.19 , (0.329)  , 0.013 ,-
Rama Petrochemicals Limited (BSE:500358),BSE:500358,Commodity Chemicals (Primary),Public Company,NM, 0.072 ,NM, 16.2 ,-,-, (281.6)  , 0.045 ,NM
Rang Dong Plastic Joint-Stock Company (HOSE:RDP),HOSE:RDP,Commodity Chemicals (Primary),Public Company, 14.6 , 0.541 , 1.36 ,-,-,-,-,-,-
Range International Limited (ASX:RAN),ASX:RAN,Commodity Chemicals (Primary),Public Company,NM, 0.015 , 0.715 , 0.931 , (45.7)  , 0.382 , (135.9)  , 0.143 ,-
Ranger Industries Inc.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Rasa Industries, Ltd. (TSE:4022)",TSE:4022,Commodity Chemicals (Primary),Public Company, 7.43 , 22.92 , 0.843 , 1.85 , 12.1 , 1.53 , 14.3 , 0.778 , 36.4 
