Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
Ishares IV PLC - Ishares Msci Emu Sri Ucits ETF,-,Financials (Primary),-,-,-,-,-,-,-,-,-,-,"ENXTAM:SMDU
Company: Ishares IV PLC - Ishares Msci Emu Sri Ucits ETF
(IQT645669088) - Euronext Amsterdam (ENXTAM)

ENXTAM:SMUA
Company: Ishares IV PLC - Ishares Msci Emu Sri Ucits ETF
(IQT645669087) - Euronext Amsterdam (ENXTAM)"
iShares IV PLC - iShares MSCI Europe ESG Enhanced Ucits ETF (LSE:EEUD),LSE:EEUD,Financials (Primary),-, 9.79 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:EMNU
Company: iShares IV PLC - iShares MSCI Europe ESG Enhanced Ucits ETF
(IQT610255679) - Deutsche Boerse AG (DB)

DB:EDM6
Company: iShares IV PLC - iShares MSCI Europe ESG Enhanced Ucits ETF
(IQT599195391) - Deutsche Boerse AG (DB)

SWX:EDM6
Company: iShares IV PLC - iShares MSCI Europe ESG Enhanced Ucits ETF
(IQT600608494) - SIX Swiss Exchange (SWX)

XTRA:EMNU
Company: iShares IV PLC - iShares MSCI Europe ESG Enhanced Ucits ETF
(IQT610140124) - XETRA Trading Platform (XTRA)

XTRA:EDM6
Company: iShares IV PLC - iShares MSCI Europe ESG Enhanced Ucits ETF
(IQT600133677) - XETRA Trading Platform (XTRA)"
Ishares Iv Plc - Ishares Msci Japan Esg Enhanced Ucits Etf (XTRA:EDMJ),XTRA:EDMJ,Financials (Primary),-, 8.83 ,-,-,-,-,-,-,-,XETRA Trading Platform (XTRA),"DB:EDMJ
Company: Ishares Iv Plc - Ishares Msci Japan Esg Enhanced Ucits Etf
(IQT599195784) - Deutsche Boerse AG (DB)

BMV:EDMJ N
Company: Ishares Iv Plc - Ishares Msci Japan Esg Enhanced Ucits Etf
(IQT628263449) - Bolsa Mexicana de Valores (BMV)

SWX:EDMJ
Company: Ishares Iv Plc - Ishares Msci Japan Esg Enhanced Ucits Etf
(IQT600608495) - SIX Swiss Exchange (SWX)

LSE:EEJD
Company: Ishares Iv Plc - Ishares Msci Japan Esg Enhanced Ucits Etf
(IQT600136203) - London Stock Exchange (LSE)

LSE:EEJG
Company: Ishares Iv Plc - Ishares Msci Japan Esg Enhanced Ucits Etf
(IQT612537698) - London Stock Exchange (LSE)"
Ishares IV PLC - Ishares Smart City Infrastructure Ucits ETF (ENXTAM:CT2B),ENXTAM:CT2B,Financials (Primary),-, 9.31 ,-,-,-,-,-,-,-,Euronext Amsterdam (ENXTAM),"DB:AYEU
Company: Ishares IV PLC - Ishares Smart City Infrastructure Ucits ETF
(IQT634052308) - Deutsche Boerse AG (DB)

DB:AYEV
Company: Ishares IV PLC - Ishares Smart City Infrastructure Ucits ETF
(IQT634052307) - Deutsche Boerse AG (DB)

BIT:CITY
Company: Ishares IV PLC - Ishares Smart City Infrastructure Ucits ETF
(IQT662786110) - Borsa Italiana (BIT)

LSE:CT2B
Company: Ishares IV PLC - Ishares Smart City Infrastructure Ucits ETF
(IQT703825804) - London Stock Exchange (LSE)

XTRA:AYEV
Company: Ishares IV PLC - Ishares Smart City Infrastructure Ucits ETF
(IQT670702936) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF (LSE:SDIG),LSE:SDIG,Financials (Primary),-, 139.49 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS3J
Company: iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF
(IQT312149372) - Deutsche Boerse AG (DB)

BMV:SDIG N
Company: iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF
(IQT423862353) - Bolsa Mexicana de Valores (BMV)

SWX:SDIG
Company: iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF
(IQT249292945) - SIX Swiss Exchange (SWX)

LSE:IGSD
Company: iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF
(IQT262845994) - London Stock Exchange (LSE)

XTRA:IS3J
Company: iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF
(IQT311791715) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF (LSE:SDHY),LSE:SDHY,Financials (Primary),-, 123.03 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS3K
Company: iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF
(IQT312287382) - Deutsche Boerse AG (DB)

BMV:SDHA N
Company: iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF
(IQT586803487) - Bolsa Mexicana de Valores (BMV)

BMV:SDHY N
Company: iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF
(IQT570843206) - Bolsa Mexicana de Valores (BMV)

LSE:SDHA
Company: iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF
(IQT567918305) - London Stock Exchange (LSE)

XTRA:IS3K
Company: iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF
(IQT311791750) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares $ Treasury Bond 20+yr UCITS ETF (LSE:IDTG),LSE:IDTG,Financials (Primary),-, 9.47 ,-,-,-,-,-,-,-,London Stock Exchange (LSE); London Stock Exchange (LSE),"DB:IUSV
Company: iShares IV Public Limited Company - iShares $ Treasury Bond 20+yr UCITS ETF
(IQT710246516) - Deutsche Boerse AG (DB)

BMV:IDTL N
Company: iShares IV Public Limited Company - iShares $ Treasury Bond 20+yr UCITS ETF
(IQT564474407) - Bolsa Mexicana de Valores (BMV)

BMV:DTLA N
Company: iShares IV Public Limited Company - iShares $ Treasury Bond 20+yr UCITS ETF
(IQT578754689) - Bolsa Mexicana de Valores (BMV)

SWX:DTLE
Company: iShares IV Public Limited Company - iShares $ Treasury Bond 20+yr UCITS ETF
(IQT541092491) - SIX Swiss Exchange (SWX)

N/A
Company: iShares IV Public Limited Company - iShares $ Treasury Bond 20+yr UCITS ETF
(IQT711118489) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares $ Ultrashort Bond UCITS ETF (LSE:ERND),LSE:ERND,Financials (Primary),-, 134.11 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS3L
Company: iShares IV Public Limited Company - iShares $ Ultrashort Bond UCITS ETF
(IQT311791761) - Deutsche Boerse AG (DB)

BMV:ERNA N
Company: iShares IV Public Limited Company - iShares $ Ultrashort Bond UCITS ETF
(IQT586803486) - Bolsa Mexicana de Valores (BMV)

BMV:ERND N
Company: iShares IV Public Limited Company - iShares $ Ultrashort Bond UCITS ETF
(IQT570843205) - Bolsa Mexicana de Valores (BMV)

LSE:ERNA
Company: iShares IV Public Limited Company - iShares $ Ultrashort Bond UCITS ETF
(IQT568171021) - London Stock Exchange (LSE)

XTRA:IS3L
Company: iShares IV Public Limited Company - iShares $ Ultrashort Bond UCITS ETF
(IQT311791760) - XETRA Trading Platform (XTRA)"
Ishares Iv Public Limited Company - Ishares £ Ultrashort Bond Esg Ucits ETF (LSE:UESD),LSE:UESD,Financials (Primary),-, 9.35 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),-
iShares IV Public Limited Company - iShares £ Ultrashort Bond UCITS ETF (LSE:ERNS),LSE:ERNS,Financials (Primary),-, 187.23 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),-
iShares IV Public Limited Company - iShares Ageing Population UCITS ETF (LSE:AGED),LSE:AGED,Financials (Primary),-, 10.65 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:2B77
Company: iShares IV Public Limited Company - iShares Ageing Population UCITS ETF
(IQT381648570) - Deutsche Boerse AG (DB)

BIT:AGED
Company: iShares IV Public Limited Company - iShares Ageing Population UCITS ETF
(IQT407222750) - Borsa Italiana (BIT)

BMV:AGED N
Company: iShares IV Public Limited Company - iShares Ageing Population UCITS ETF
(IQT545304888) - Bolsa Mexicana de Valores (BMV)

SWX:AGED
Company: iShares IV Public Limited Company - iShares Ageing Population UCITS ETF
(IQT381648566) - SIX Swiss Exchange (SWX)

XTRA:2B77
Company: iShares IV Public Limited Company - iShares Ageing Population UCITS ETF
(IQT381766235) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Automation & Robotics UCITS ETF (LSE:RBOD),LSE:RBOD,Financials (Primary),-, 11.86 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:2B7F
Company: iShares IV Public Limited Company - iShares Automation & Robotics UCITS ETF
(IQT661746290) - Deutsche Boerse AG (DB)

BIT:RBOT
Company: iShares IV Public Limited Company - iShares Automation & Robotics UCITS ETF
(IQT407222749) - Borsa Italiana (BIT)

BMV:RBOT N
Company: iShares IV Public Limited Company - iShares Automation & Robotics UCITS ETF
(IQT545300239) - Bolsa Mexicana de Valores (BMV)

SWX:RBOD
Company: iShares IV Public Limited Company - iShares Automation & Robotics UCITS ETF
(IQT549991339) - SIX Swiss Exchange (SWX)

N/A
Company: iShares IV Public Limited Company - iShares Automation & Robotics UCITS ETF
(IQT575964887) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares China Government Bond 1-10yr UCITS ETF (ENXTAM:CNYB),ENXTAM:CNYB,Financials (Primary),-, 7.28 ,-,-,-,-,-,-,-,Euronext Amsterdam (ENXTAM),"DB:ICGB
Company: iShares IV Public Limited Company - iShares China Government Bond 1-10yr UCITS ETF
(IQT613319072) - Deutsche Boerse AG (DB)

BIT:CNYB
Company: iShares IV Public Limited Company - iShares China Government Bond 1-10yr UCITS ETF
(IQT662786068) - Borsa Italiana (BIT)

SWX:CNYB
Company: iShares IV Public Limited Company - iShares China Government Bond 1-10yr UCITS ETF
(IQT628270007) - SIX Swiss Exchange (SWX)

LSE:CNYB
Company: iShares IV Public Limited Company - iShares China Government Bond 1-10yr UCITS ETF
(IQT309868151) - London Stock Exchange (LSE)

XTRA:ICGB
Company: iShares IV Public Limited Company - iShares China Government Bond 1-10yr UCITS ETF
(IQT610723622) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Digital Security UCITS ETF (LSE:SHLD),LSE:SHLD,Financials (Primary),-, 11.74 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS4S
Company: iShares IV Public Limited Company - iShares Digital Security UCITS ETF
(IQT589941680) - Deutsche Boerse AG (DB)

BIT:LOCK
Company: iShares IV Public Limited Company - iShares Digital Security UCITS ETF
(IQT615679279) - Borsa Italiana (BIT)

SWX:SHLD
Company: iShares IV Public Limited Company - iShares Digital Security UCITS ETF
(IQT590547211) - SIX Swiss Exchange (SWX)

LSE:SHLG
Company: iShares IV Public Limited Company - iShares Digital Security UCITS ETF
(IQT703861714) - London Stock Exchange (LSE)

XTRA:IS4S
Company: iShares IV Public Limited Company - iShares Digital Security UCITS ETF
(IQT589956624) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Digitalisation UCITS ETF (LSE:DGIT),LSE:DGIT,Financials (Primary),-, 15.08 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:2B79
Company: iShares IV Public Limited Company - iShares Digitalisation UCITS ETF
(IQT381648568) - Deutsche Boerse AG (DB)

BIT:DGTL
Company: iShares IV Public Limited Company - iShares Digitalisation UCITS ETF
(IQT407222752) - Borsa Italiana (BIT)

BMV:DGTL N
Company: iShares IV Public Limited Company - iShares Digitalisation UCITS ETF
(IQT545296017) - Bolsa Mexicana de Valores (BMV)

SWX:DGTL
Company: iShares IV Public Limited Company - iShares Digitalisation UCITS ETF
(IQT381648564) - SIX Swiss Exchange (SWX)

XTRA:2B79
Company: iShares IV Public Limited Company - iShares Digitalisation UCITS ETF
(IQT381766237) - XETRA Trading Platform (XTRA)"
IShares IV Public Limited Company - iShares Edge MSCI EM Value Factor UCITS ETF (LSE:EMVL),LSE:EMVL,Financials (Primary),-, 64.48 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:5MVL
Company: IShares IV Public Limited Company - iShares Edge MSCI EM Value Factor UCITS ETF
(IQT558487949) - Deutsche Boerse AG (DB)

XTRA:5MVL
Company: IShares IV Public Limited Company - iShares Edge MSCI EM Value Factor UCITS ETF
(IQT566634667) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI EMU Multifactor UCITS ETF (SWX:EDMF),SWX:EDMF,Financials (Primary),-,-,-,-,-,-,-,-,-,SIX Swiss Exchange (SWX),"DB:EDMF
Company: iShares IV Public Limited Company - iShares Edge MSCI EMU Multifactor UCITS ETF
(IQT545085179) - Deutsche Boerse AG (DB)

XTRA:EDMF
Company: iShares IV Public Limited Company - iShares Edge MSCI EMU Multifactor UCITS ETF
(IQT545044519) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI Europe Momentum Factor UCITS ETF (LSE:IEFM),LSE:IEFM,Financials (Primary),-, 14.57 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:CEMR
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Momentum Factor UCITS ETF
(IQT311791656) - Deutsche Boerse AG (DB)

BMV:CEMR N
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Momentum Factor UCITS ETF
(IQT554007598) - Bolsa Mexicana de Valores (BMV)

SWX:IEMO
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Momentum Factor UCITS ETF
(IQT285495902) - SIX Swiss Exchange (SWX)

LSE:IEMD
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Momentum Factor UCITS ETF
(IQT550921138) - London Stock Exchange (LSE)

N/A
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Momentum Factor UCITS ETF
(IQT311791655) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI Europe Multifactor UCITS ETF (LSE:IFSE),LSE:IFSE,Financials (Primary),-,-,-,-,-,-,-,-,-,London Stock Exchange (LSE),"BIT:IFSE
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Multifactor UCITS ETF
(IQT328718033) - Borsa Italiana (BIT)

BMV:IBC0 N
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Multifactor UCITS ETF
(IQT554007310) - Bolsa Mexicana de Valores (BMV)

SWX:IFSE
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Multifactor UCITS ETF
(IQT311087243) - SIX Swiss Exchange (SWX)

LSE:IFSD
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Multifactor UCITS ETF
(IQT550921139) - London Stock Exchange (LSE)

LSE:IEEU
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Multifactor UCITS ETF
(IQT381766238) - London Stock Exchange (LSE)"
iShares IV Public Limited Company - iShares Edge MSCI Europe Quality Factor UCITS ETF (LSE:IEFQ),LSE:IEFQ,Financials (Primary),-, 14.16 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:CEMQ
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Quality Factor UCITS ETF
(IQT311791644) - Deutsche Boerse AG (DB)

BMV:CEMQ N
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Quality Factor UCITS ETF
(IQT554007116) - Bolsa Mexicana de Valores (BMV)

SWX:IEQU
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Quality Factor UCITS ETF
(IQT285495903) - SIX Swiss Exchange (SWX)

LSE:IEQD
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Quality Factor UCITS ETF
(IQT550921136) - London Stock Exchange (LSE)

N/A
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Quality Factor UCITS ETF
(IQT311791643) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI Europe Size Factor UCITS ETF (LSE:IEFS),LSE:IEFS,Financials (Primary),-, 13.38 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:CEMT
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Size Factor UCITS ETF
(IQT311791658) - Deutsche Boerse AG (DB)

BIT:IESZ
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Size Factor UCITS ETF
(IQT285182280) - Borsa Italiana (BIT)

BMV:CEMT N
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Size Factor UCITS ETF
(IQT554007775) - Bolsa Mexicana de Valores (BMV)

SWX:IESZ
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Size Factor UCITS ETF
(IQT285495900) - SIX Swiss Exchange (SWX)

N/A
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Size Factor UCITS ETF
(IQT311791657) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI Europe Value Factor UCITS ETF (LSE:IEFV),LSE:IEFV,Financials (Primary),-, 10.89 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:CEMS
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Value Factor UCITS ETF
(IQT311791646) - Deutsche Boerse AG (DB)

BMV:IEVL N
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Value Factor UCITS ETF
(IQT428069598) - Bolsa Mexicana de Valores (BMV)

SWX:IEVL
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Value Factor UCITS ETF
(IQT285495901) - SIX Swiss Exchange (SWX)

LSE:IEDL
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Value Factor UCITS ETF
(IQT550921137) - London Stock Exchange (LSE)

XTRA:CEMS
Company: iShares IV Public Limited Company - iShares Edge MSCI Europe Value Factor UCITS ETF
(IQT311791645) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI USA Multifactor UCITS ETF (LSE:IFSU),LSE:IFSU,Financials (Primary),-, 13.26 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"BIT:IFSU
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Multifactor UCITS ETF
(IQT328717451) - Borsa Italiana (BIT)

BMV:IFSU N
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Multifactor UCITS ETF
(IQT546157279) - Bolsa Mexicana de Valores (BMV)

SWX:IFSU
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Multifactor UCITS ETF
(IQT311087242) - SIX Swiss Exchange (SWX)

LSE:UFSD
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Multifactor UCITS ETF
(IQT550921140) - London Stock Exchange (LSE)

XTRA:IBCY
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Multifactor UCITS ETF
(IQT311024902) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI USA Quality Factor UCITS ETF (LSE:IUQA),LSE:IUQA,Financials (Primary),-, 14.26 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:QDVB
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Quality Factor UCITS ETF
(IQT401803977) - Deutsche Boerse AG (DB)

BMV:IUQA N
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Quality Factor UCITS ETF
(IQT586223758) - Bolsa Mexicana de Valores (BMV)

SWX:IUQA
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Quality Factor UCITS ETF
(IQT409274552) - SIX Swiss Exchange (SWX)

LSE:IUQD
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Quality Factor UCITS ETF
(IQT546903589) - London Stock Exchange (LSE)

XTRA:QDVB
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Quality Factor UCITS ETF
(IQT401803978) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI USA Size Factor UCITS ETF (LSE:IUSZ),LSE:IUSZ,Financials (Primary),-, 13.32 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:QDVC
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Size Factor UCITS ETF
(IQT401803975) - Deutsche Boerse AG (DB)

BMV:IUSZ N
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Size Factor UCITS ETF
(IQT586223757) - Bolsa Mexicana de Valores (BMV)

SWX:IUSZ
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Size Factor UCITS ETF
(IQT409274555) - SIX Swiss Exchange (SWX)

LSE:IUSF
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Size Factor UCITS ETF
(IQT379036131) - London Stock Exchange (LSE)

XTRA:QDVC
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Size Factor UCITS ETF
(IQT401803976) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI USA Value Factor UCITS ETF (LSE:IUVL),LSE:IUVL,Financials (Primary),-, 12.02 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:QDVI
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Value Factor UCITS ETF
(IQT401803979) - Deutsche Boerse AG (DB)

BMV:IUVL N
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Value Factor UCITS ETF
(IQT586223756) - Bolsa Mexicana de Valores (BMV)

SWX:IUVL
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Value Factor UCITS ETF
(IQT409274553) - SIX Swiss Exchange (SWX)

LSE:IUVD
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Value Factor UCITS ETF
(IQT546903587) - London Stock Exchange (LSE)

XTRA:QDVI
Company: iShares IV Public Limited Company - iShares Edge MSCI USA Value Factor UCITS ETF
(IQT401803980) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI World Momentum Factor UCITS ETF (LSE:IWFM),LSE:IWFM,Financials (Primary),-, 84.54 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS3R
Company: iShares IV Public Limited Company - iShares Edge MSCI World Momentum Factor UCITS ETF
(IQT311791642) - Deutsche Boerse AG (DB)

BIT:IWMO
Company: iShares IV Public Limited Company - iShares Edge MSCI World Momentum Factor UCITS ETF
(IQT285182286) - Borsa Italiana (BIT)

BMV:IWMO N
Company: iShares IV Public Limited Company - iShares Edge MSCI World Momentum Factor UCITS ETF
(IQT546157929) - Bolsa Mexicana de Valores (BMV)

SWX:IWMO
Company: iShares IV Public Limited Company - iShares Edge MSCI World Momentum Factor UCITS ETF
(IQT274909666) - SIX Swiss Exchange (SWX)

XTRA:IS3R
Company: iShares IV Public Limited Company - iShares Edge MSCI World Momentum Factor UCITS ETF
(IQT311791641) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI World Multifactor UCITS ETF (LSE:IFSW),LSE:IFSW,Financials (Primary),-, 12.57 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS07
Company: iShares IV Public Limited Company - iShares Edge MSCI World Multifactor UCITS ETF
(IQT424160359) - Deutsche Boerse AG (DB)

SWX:DMFC
Company: iShares IV Public Limited Company - iShares Edge MSCI World Multifactor UCITS ETF
(IQT529531013) - SIX Swiss Exchange (SWX)

SWX:IS07
Company: iShares IV Public Limited Company - iShares Edge MSCI World Multifactor UCITS ETF
(IQT431898841) - SIX Swiss Exchange (SWX)

LSE:0Y8Q
Company: iShares IV Public Limited Company - iShares Edge MSCI World Multifactor UCITS ETF
(IQT551874414) - London Stock Exchange (LSE)

XTRA:IS07
Company: iShares IV Public Limited Company - iShares Edge MSCI World Multifactor UCITS ETF
(IQT424251056) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI World Quality Factor UCITS ETF (LSE:IWFQ),LSE:IWFQ,Financials (Primary),-, 72.32 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS3Q
Company: iShares IV Public Limited Company - iShares Edge MSCI World Quality Factor UCITS ETF
(IQT311791648) - Deutsche Boerse AG (DB)

BIT:IWQU
Company: iShares IV Public Limited Company - iShares Edge MSCI World Quality Factor UCITS ETF
(IQT285182287) - Borsa Italiana (BIT)

BMV:IWQU N
Company: iShares IV Public Limited Company - iShares Edge MSCI World Quality Factor UCITS ETF
(IQT546157749) - Bolsa Mexicana de Valores (BMV)

SWX:IWQU
Company: iShares IV Public Limited Company - iShares Edge MSCI World Quality Factor UCITS ETF
(IQT274909667) - SIX Swiss Exchange (SWX)

XTRA:IS3Q
Company: iShares IV Public Limited Company - iShares Edge MSCI World Quality Factor UCITS ETF
(IQT311791647) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI World Size Factor UCITS ETF (LSE:IWFS),LSE:IWFS,Financials (Primary),-, 60.06 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS3T
Company: iShares IV Public Limited Company - iShares Edge MSCI World Size Factor UCITS ETF
(IQT311791654) - Deutsche Boerse AG (DB)

BIT:IWSZ
Company: iShares IV Public Limited Company - iShares Edge MSCI World Size Factor UCITS ETF
(IQT285182284) - Borsa Italiana (BIT)

BMV:IWSZ N
Company: iShares IV Public Limited Company - iShares Edge MSCI World Size Factor UCITS ETF
(IQT546157005) - Bolsa Mexicana de Valores (BMV)

SWX:IWSZ
Company: iShares IV Public Limited Company - iShares Edge MSCI World Size Factor UCITS ETF
(IQT274909664) - SIX Swiss Exchange (SWX)

XTRA:IS3T
Company: iShares IV Public Limited Company - iShares Edge MSCI World Size Factor UCITS ETF
(IQT311791653) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Edge MSCI World Value Factor UCITS ETF (LSE:IWFV),LSE:IWFV,Financials (Primary),-, 49.66 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS3S
Company: iShares IV Public Limited Company - iShares Edge MSCI World Value Factor UCITS ETF
(IQT311791650) - Deutsche Boerse AG (DB)

BMV:IWVL N
Company: iShares IV Public Limited Company - iShares Edge MSCI World Value Factor UCITS ETF
(IQT546156872) - Bolsa Mexicana de Valores (BMV)

LSE:IWVG
Company: iShares IV Public Limited Company - iShares Edge MSCI World Value Factor UCITS ETF
(IQT580908069) - London Stock Exchange (LSE)

LSE:IWVU
Company: iShares IV Public Limited Company - iShares Edge MSCI World Value Factor UCITS ETF
(IQT551117832) - London Stock Exchange (LSE)

XTRA:IS3S
Company: iShares IV Public Limited Company - iShares Edge MSCI World Value Factor UCITS ETF
(IQT311791649) - XETRA Trading Platform (XTRA)"
iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF (LSE:020Y),LSE:020Y,Financials (Primary),-, 9.48 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IS05
Company: iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF
(IQT281963439) - Deutsche Boerse AG (DB)

SWX:E20Y
Company: iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF
(IQT282077070) - SIX Swiss Exchange (SWX)

XTRA:IS05
Company: iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF
(IQT311791717) - XETRA Trading Platform (XTRA)"
